zone_id,hour,day_of_week,weather,special_event,passenger_demand
Z4,2,Sun,Clear,0,61
Z1,13,Thu,Clear,0,34
Z5,12,Sun,Clear,0,71
Z4,12,Mon,Clear,0,44
Z3,1,Fri,Cloudy,0,114
Z1,12,Mon,Cloudy,0,42
Z1,18,Tue,Clear,0,43
Z4,5,Thu,Rainy,0,39
Z3,15,Mon,Rainy,0,122
Z3,1,Sun,Clear,0,122
Z5,7,Wed,Clear,0,79
Z3,16,Mon,Cloudy,0,135
Z3,22,Thu,Cloudy,0,108
Z3,1,Fri,Rainy,0,124
Z2,9,Sun,Rainy,0,147
Z5,15,Fri,Cloudy,0,53
Z1,5,Thu,Clear,0,63
Z4,1,Sun,Clear,0,62
Z1,1,Tue,Clear,0,22
Z5,12,Sun,Clear,0,95
Z4,23,Tue,Cloudy,0,58
Z5,14,Fri,Clear,1,123
Z3,1,Fri,Cloudy,0,103
Z4,6,Thu,Clear,0,21
Z3,2,Tue,Clear,0,89
Z1,7,Fri,Clear,1,138
Z1,22,Tue,Clear,1,114
Z4,13,Fri,Cloudy,0,48
Z4,23,Sun,Cloudy,0,61
Z5,22,Mon,Rainy,0,83
Z5,21,Wed,Clear,0,53
Z3,6,Sun,Clear,0,110
Z4,20,Sat,Clear,0,59
Z1,6,Mon,Clear,0,49
Z5,0,Sat,Rainy,0,96
Z5,16,Fri,Cloudy,0,53
Z1,8,Wed,Rainy,0,118
Z5,20,Wed,Clear,0,64
Z3,12,Fri,Rainy,0,141
Z4,20,Fri,Clear,0,37
Z1,18,Tue,Rainy,0,87
Z4,20,Fri,Clear,0,52
Z5,18,Thu,Clear,0,94
Z5,21,Fri,Clear,0,72
Z1,16,Thu,Rainy,0,87
Z3,22,Fri,Clear,0,111
Z2,22,Tue,Clear,0,52
Z1,9,Thu,Rainy,0,58
Z2,9,Mon,Clear,0,99
Z2,3,Thu,Clear,0,74
Z3,7,Sun,Clear,0,151
Z2,21,Tue,Clear,0,72
Z2,19,Sat,Rainy,0,161
Z3,19,Thu,Cloudy,0,175
Z2,17,Sun,Clear,0,127
Z2,13,Sun,Rainy,1,194
Z2,17,Sun,Clear,0,127
Z1,13,Fri,Clear,0,41
Z1,19,Sun,Clear,0,92
Z1,20,Fri,Clear,1,112
Z3,23,Sat,Clear,0,123
Z5,14,Tue,Rainy,0,87
Z2,21,Wed,Cloudy,0,67
Z2,3,Fri,Clear,0,63
Z3,12,Sun,Clear,0,157
Z2,22,Sun,Cloudy,0,113
Z1,7,Mon,Rainy,0,81
Z5,17,Sun,Rainy,0,158
Z4,11,Tue,Clear,0,39
Z2,22,Thu,Cloudy,0,78
Z1,13,Thu,Clear,0,29
Z4,1,Sun,Clear,0,38
Z5,17,Mon,Clear,0,103
Z4,23,Fri,Clear,0,17
Z1,1,Tue,Clear,0,56
Z4,10,Mon,Clear,0,51
Z3,8,Fri,Clear,0,139
Z4,11,Tue,Cloudy,0,57
Z2,16,Sun,Clear,0,84
Z2,14,Thu,Clear,0,59
Z3,16,Tue,Clear,0,127
Z1,17,Sun,Rainy,1,229
Z2,21,Sat,Clear,0,119
Z5,5,Wed,Clear,0,65
Z2,16,Tue,Clear,0,83
Z2,22,Wed,Cloudy,0,85
Z1,23,Tue,Rainy,0,86
Z4,17,Wed,Clear,0,76
Z2,7,Sat,Clear,0,132
Z3,8,Thu,Rainy,0,148
Z4,5,Fri,Clear,0,27
Z5,4,Wed,Cloudy,0,82
Z1,11,Sat,Clear,0,71
Z5,10,Wed,Clear,0,73
Z4,0,Thu,Clear,0,32
Z4,10,Wed,Clear,0,20
Z4,18,Sat,Cloudy,0,99
Z5,8,Sun,Rainy,0,136
Z4,1,Sat,Clear,0,54
Z5,11,Mon,Cloudy,0,55
Z4,3,Thu,Clear,1,106
Z3,3,Sun,Clear,1,209
Z4,17,Mon,Clear,1,116
Z5,14,Thu,Rainy,0,97
Z2,18,Sun,Cloudy,0,142
Z4,12,Wed,Cloudy,0,44
Z2,18,Sun,Cloudy,0,132
Z3,16,Sat,Cloudy,0,149
Z1,5,Mon,Rainy,0,53
Z3,15,Wed,Cloudy,1,190
Z4,23,Sat,Rainy,0,84
Z2,11,Thu,Clear,1,155
Z2,18,Sun,Clear,0,111
Z5,4,Sat,Clear,0,104
Z2,16,Wed,Clear,0,59
Z5,22,Mon,Clear,0,58
Z1,0,Mon,Clear,0,66
Z4,23,Sun,Cloudy,0,29
Z5,22,Sat,Clear,0,54
Z1,9,Wed,Clear,0,77
Z2,14,Tue,Clear,0,33
Z2,22,Thu,Rainy,0,64
Z1,20,Thu,Clear,0,58
Z2,20,Wed,Clear,0,64
Z1,10,Tue,Cloudy,0,83
Z5,12,Mon,Cloudy,0,54
Z5,4,Sun,Clear,0,75
Z1,0,Fri,Clear,0,48
Z5,23,Fri,Clear,0,67
Z5,11,Sun,Rainy,0,101
Z5,10,Wed,Clear,0,50
Z3,16,Tue,Clear,0,113
Z4,3,Tue,Clear,0,51
Z2,14,Thu,Clear,1,161
Z3,8,Mon,Cloudy,0,141
Z5,20,Sat,Clear,0,65
Z1,19,Tue,Clear,0,70
Z5,18,Sun,Clear,0,101
Z4,18,Sat,Clear,1,172
Z5,11,Fri,Clear,0,72
Z1,4,Sat,Cloudy,0,69
Z4,9,Mon,Cloudy,0,96
Z5,16,Sun,Rainy,0,132
Z4,4,Mon,Rainy,0,60
Z2,21,Sat,Cloudy,0,111
Z2,15,Wed,Clear,0,56
Z5,6,Tue,Cloudy,0,65
Z4,8,Sun,Cloudy,0,109
Z1,2,Wed,Cloudy,0,41
Z5,14,Sat,Clear,0,102
Z2,15,Tue,Clear,0,87
Z2,17,Thu,Cloudy,0,131
Z5,13,Wed,Cloudy,0,52
Z4,2,Wed,Rainy,0,50
Z2,11,Sat,Clear,0,100
Z4,8,Fri,Clear,0,45
Z2,6,Sat,Clear,0,87
Z2,8,Wed,Cloudy,1,201
Z3,12,Tue,Clear,0,101
Z2,17,Fri,Clear,0,97
Z1,4,Sat,Rainy,0,58
Z5,12,Sun,Clear,0,74
Z5,3,Sat,Cloudy,0,102
Z4,1,Wed,Clear,1,97
Z2,15,Wed,Cloudy,1,160
Z1,8,Thu,Clear,0,67
Z4,8,Sat,Rainy,1,175
Z3,5,Wed,Rainy,0,148
Z4,10,Sun,Clear,0,75
Z4,21,Mon,Clear,0,45
Z2,23,Fri,Clear,0,60
Z3,21,Mon,Cloudy,0,150
Z4,0,Fri,Rainy,0,70
Z1,3,Sun,Clear,0,53
Z1,12,Sat,Cloudy,0,58
Z5,22,Thu,Clear,0,77
Z3,12,Wed,Cloudy,0,123
Z3,12,Wed,Rainy,0,122
Z5,1,Wed,Clear,0,58
Z4,8,Sat,Clear,0,74
Z3,23,Fri,Clear,0,98
Z1,7,Sun,Clear,0,105
Z1,6,Wed,Clear,0,52
Z2,3,Mon,Clear,0,83
Z3,17,Wed,Clear,1,242
Z4,2,Sat,Clear,0,36
Z5,5,Sun,Clear,1,151
Z5,11,Thu,Clear,0,82
Z4,11,Sun,Clear,0,52
Z2,20,Mon,Cloudy,0,58
Z5,7,Wed,Cloudy,0,103
Z3,21,Wed,Clear,0,120
Z2,21,Tue,Clear,0,78
Z3,0,Fri,Cloudy,0,106
Z1,3,Mon,Rainy,0,93
Z2,20,Tue,Clear,0,47
Z5,10,Sun,Clear,0,82
Z2,2,Thu,Clear,0,96
Z2,12,Fri,Clear,0,79
Z2,16,Mon,Clear,0,83
Z2,21,Wed,Clear,0,54
Z3,21,Sun,Cloudy,0,145
Z1,9,Mon,Clear,0,69
Z4,20,Wed,Clear,0,13
Z2,11,Fri,Clear,0,83
Z5,14,Wed,Clear,0,48
Z2,20,Thu,Clear,0,59
Z5,9,Sun,Clear,0,116
Z3,13,Sat,Rainy,0,153
Z5,12,Wed,Clear,0,63
Z4,4,Thu,Cloudy,0,37
Z1,5,Sat,Rainy,0,106
Z5,23,Sun,Clear,0,66
Z5,1,Fri,Clear,0,53
Z1,21,Fri,Clear,0,47
Z4,16,Sun,Rainy,0,60
Z2,3,Sun,Rainy,0,100
Z5,13,Mon,Cloudy,0,72
Z1,9,Thu,Clear,0,83
Z3,2,Thu,Cloudy,1,215
Z1,2,Sun,Clear,0,61
Z3,14,Tue,Clear,0,100
Z4,5,Tue,Clear,0,34
Z2,16,Sat,Clear,0,98
Z1,11,Sat,Cloudy,0,74
Z5,21,Tue,Clear,0,79
Z4,19,Sun,Clear,0,75
Z1,23,Sun,Clear,0,50
Z5,10,Sat,Rainy,0,121
Z1,3,Wed,Cloudy,0,28
Z3,5,Sun,Clear,0,122
Z1,0,Tue,Clear,0,29
Z1,19,Thu,Clear,0,57
Z1,22,Sun,Rainy,0,82
Z4,15,Sun,Clear,0,61
Z1,14,Wed,Clear,0,42
Z5,16,Sat,Clear,0,92
Z3,7,Sun,Clear,0,178
Z3,11,Fri,Cloudy,0,114
Z1,21,Mon,Clear,0,80
Z4,20,Tue,Clear,0,25
Z4,9,Fri,Clear,0,57
Z5,14,Sat,Clear,0,69
Z1,8,Thu,Rainy,0,103
Z3,1,Mon,Clear,0,106
Z4,4,Fri,Rainy,0,54
Z1,5,Mon,Cloudy,0,47
Z4,6,Tue,Clear,1,107
Z4,20,Sat,Clear,0,52
Z3,0,Sun,Clear,1,203
Z2,22,Thu,Cloudy,0,74
Z5,6,Sat,Clear,0,96
Z5,19,Mon,Clear,1,176
Z3,11,Fri,Clear,0,116
Z4,15,Tue,Cloudy,0,27
Z1,15,Tue,Clear,0,33
Z4,10,Sat,Clear,0,32
Z3,20,Sun,Clear,0,158
Z5,3,Fri,Clear,0,81
Z4,12,Sun,Cloudy,0,69
Z5,6,Sun,Clear,0,112
Z1,3,Fri,Cloudy,0,62
Z5,14,Mon,Cloudy,0,67
Z5,18,Sat,Clear,0,126
Z2,8,Sat,Cloudy,0,150
Z2,10,Wed,Clear,0,57
Z2,7,Sat,Clear,0,102
Z5,0,Tue,Cloudy,0,76
Z3,22,Mon,Clear,0,101
Z5,23,Fri,Cloudy,0,36
Z3,7,Sat,Clear,0,141
Z3,12,Mon,Rainy,1,210
Z2,21,Sat,Clear,0,91
Z4,3,Fri,Clear,0,31
Z1,7,Thu,Clear,0,100
Z2,2,Fri,Cloudy,0,77
Z2,8,Fri,Cloudy,0,114
Z4,1,Fri,Clear,0,6
Z1,1,Sat,Rainy,0,85
Z5,12,Wed,Clear,0,65
Z5,14,Fri,Clear,0,39
Z2,22,Tue,Rainy,0,81
Z1,11,Tue,Rainy,0,72
Z2,3,Mon,Cloudy,0,72
Z3,7,Wed,Rainy,0,163
Z2,8,Mon,Clear,0,108
Z2,22,Tue,Rainy,0,126
Z5,4,Sun,Clear,0,77
Z5,23,Tue,Clear,0,87
Z5,19,Thu,Clear,0,71
Z3,17,Fri,Clear,0,152
Z5,10,Sun,Clear,1,155
Z1,14,Tue,Clear,0,32
Z4,21,Sat,Clear,0,60
Z1,8,Sat,Clear,0,87
Z1,16,Mon,Clear,0,10
Z5,11,Sun,Clear,0,56
Z4,6,Mon,Clear,0,41
Z4,9,Fri,Cloudy,0,45
Z4,9,Fri,Rainy,0,96
Z3,12,Thu,Cloudy,0,122
Z5,18,Wed,Clear,0,97
Z4,10,Mon,Cloudy,0,39
Z3,12,Fri,Clear,0,118
Z2,20,Mon,Clear,0,52
Z2,7,Fri,Clear,0,101
Z3,7,Tue,Cloudy,0,133
Z3,3,Mon,Clear,0,112
Z5,14,Tue,Clear,0,70
Z5,10,Mon,Clear,0,62
Z2,10,Wed,Rainy,0,104
Z4,0,Thu,Cloudy,1,109
Z2,16,Sat,Clear,0,89
Z4,14,Sat,Clear,0,46
Z4,19,Sat,Clear,0,85
Z5,5,Tue,Cloudy,0,58
Z1,23,Sun,Clear,0,54
Z1,21,Fri,Rainy,0,48
Z3,14,Sat,Clear,0,105
Z5,8,Wed,Cloudy,0,89
Z4,13,Sat,Clear,0,59
Z1,17,Mon,Clear,0,84
Z4,16,Tue,Clear,0,11
Z1,17,Sun,Clear,0,94
Z1,4,Mon,Clear,0,50
Z1,19,Sun,Cloudy,1,183
Z5,19,Mon,Clear,0,79
Z2,8,Mon,Cloudy,0,144
Z4,10,Thu,Cloudy,0,37
Z5,23,Thu,Clear,0,43
Z5,21,Fri,Cloudy,0,73
Z5,0,Tue,Cloudy,0,69
Z5,17,Wed,Clear,0,77
Z5,5,Wed,Cloudy,0,71
Z3,1,Wed,Clear,0,125
Z4,14,Mon,Clear,0,27
Z5,20,Thu,Cloudy,0,39
Z4,13,Tue,Clear,0,35
Z3,4,Mon,Clear,0,119
Z3,5,Sun,Clear,0,121
Z4,5,Thu,Cloudy,0,31
Z1,21,Thu,Rainy,0,99
Z2,17,Sat,Clear,0,120
Z1,13,Sat,Cloudy,0,53
Z1,9,Tue,Rainy,0,95
Z1,13,Sun,Clear,0,69
Z5,12,Tue,Clear,0,68
Z3,2,Tue,Cloudy,0,83
Z1,5,Mon,Cloudy,0,40
Z3,7,Fri,Rainy,0,182
Z4,11,Tue,Clear,0,35
Z2,12,Sat,Clear,0,71
Z4,10,Fri,Clear,0,49
Z4,11,Mon,Clear,0,44
Z5,0,Fri,Clear,0,56
Z2,16,Wed,Cloudy,0,93
Z4,15,Sun,Clear,0,80
Z4,10,Fri,Cloudy,0,24
Z2,12,Tue,Clear,0,78
Z2,17,Mon,Clear,0,140
Z4,10,Sun,Clear,1,140
Z2,11,Tue,Clear,0,59
Z4,5,Sun,Clear,0,54
Z4,8,Sat,Rainy,0,126
Z5,15,Wed,Cloudy,0,55
Z1,3,Sat,Clear,0,60
Z4,2,Tue,Clear,0,26
Z3,15,Tue,Rainy,0,126
Z1,23,Tue,Clear,0,44
Z1,11,Thu,Clear,0,38
Z1,10,Wed,Clear,0,50
Z5,4,Sun,Rainy,0,122
Z4,17,Tue,Clear,0,51
Z5,18,Tue,Clear,0,101
Z4,22,Sun,Rainy,0,74
Z5,22,Sat,Clear,0,83
Z5,5,Sat,Clear,0,80
Z3,21,Tue,Clear,0,95
Z5,17,Mon,Rainy,0,147
Z2,5,Thu,Clear,0,98
Z3,3,Sat,Rainy,0,163
Z5,11,Mon,Cloudy,0,79
Z1,18,Thu,Clear,0,82
Z2,1,Tue,Rainy,0,110
Z2,16,Wed,Clear,1,113
Z2,10,Fri,Clear,0,70
Z3,10,Fri,Clear,0,101
Z5,20,Tue,Clear,0,62
Z5,15,Sat,Clear,0,96
Z1,1,Mon,Clear,0,40
Z1,1,Wed,Clear,0,35
Z2,22,Sun,Cloudy,0,79
Z1,7,Thu,Clear,1,148
Z3,12,Tue,Rainy,0,145
Z5,9,Wed,Clear,0,77
Z2,7,Wed,Clear,1,150
Z1,3,Sat,Clear,0,94
Z3,14,Thu,Clear,1,195
Z3,0,Wed,Clear,1,187
Z1,10,Sat,Cloudy,0,91
Z5,6,Mon,Rainy,0,87
Z1,16,Sat,Rainy,0,105
Z2,19,Mon,Clear,0,129
Z1,23,Mon,Rainy,1,126
Z3,17,Sun,Clear,0,177
Z1,21,Sun,Clear,0,86
Z5,21,Wed,Rainy,0,70
Z4,11,Sat,Cloudy,0,45
Z1,8,Sun,Clear,0,78
Z5,4,Mon,Clear,0,73
Z5,9,Sun,Clear,0,114
Z3,3,Thu,Cloudy,0,91
Z5,4,Wed,Clear,1,145
Z5,9,Sat,Rainy,0,131
Z5,10,Sat,Clear,0,78
Z5,20,Fri,Clear,0,47
Z2,23,Sat,Clear,0,95
Z2,9,Wed,Clear,0,116
Z3,7,Thu,Clear,1,210
Z1,1,Sat,Cloudy,0,45
Z5,22,Fri,Rainy,0,80
Z1,7,Wed,Rainy,0,106
Z1,15,Mon,Cloudy,0,44
Z3,21,Tue,Rainy,0,113
Z5,4,Tue,Clear,0,71
Z5,2,Mon,Cloudy,0,91
Z4,11,Sun,Clear,0,50
Z1,12,Sat,Clear,0,36
Z1,12,Tue,Clear,0,35
Z2,9,Sun,Clear,0,122
Z4,3,Tue,Clear,0,18
Z2,8,Mon,Rainy,1,214
Z2,21,Sat,Clear,0,76
Z2,23,Sat,Clear,0,90
Z3,22,Sun,Clear,1,207
Z3,1,Mon,Clear,0,119
Z2,18,Sun,Clear,0,130
Z4,0,Sat,Clear,0,47
Z1,6,Sat,Clear,0,48
Z4,16,Wed,Clear,0,31
Z5,2,Sun,Cloudy,0,86
Z3,19,Wed,Cloudy,0,147
Z1,19,Mon,Clear,0,82
Z1,20,Thu,Clear,1,125
Z5,2,Tue,Clear,0,55
Z5,2,Wed,Cloudy,0,84
Z2,16,Tue,Clear,0,74
Z3,6,Fri,Clear,0,91
Z3,13,Mon,Cloudy,0,140
Z4,16,Thu,Clear,1,122
Z2,17,Fri,Clear,0,125
Z2,12,Fri,Clear,0,76
Z2,19,Sat,Rainy,0,120
Z2,19,Fri,Rainy,0,151
Z3,20,Mon,Cloudy,0,121
Z3,17,Wed,Clear,0,155
Z2,3,Mon,Clear,0,78
Z4,0,Wed,Rainy,0,84
Z1,17,Fri,Rainy,0,97
Z1,0,Fri,Clear,0,32
Z4,12,Thu,Cloudy,0,27
Z2,19,Wed,Clear,0,94
Z3,19,Fri,Clear,0,134
Z1,22,Sat,Cloudy,0,42
Z5,9,Tue,Clear,0,96
Z5,10,Thu,Rainy,0,115
Z4,8,Mon,Clear,0,91
Z2,8,Thu,Clear,0,87
Z1,4,Tue,Rainy,1,141
Z2,0,Wed,Rainy,0,114
Z1,16,Mon,Clear,0,46
Z4,21,Mon,Clear,0,32
Z4,1,Wed,Cloudy,0,36
Z5,23,Sun,Clear,0,98
Z2,12,Sun,Rainy,0,99
Z5,8,Thu,Rainy,0,122
Z2,3,Fri,Clear,1,155
Z5,4,Sun,Clear,0,81
Z3,10,Thu,Clear,0,122
Z3,23,Sun,Rainy,0,156
Z3,18,Tue,Clear,0,142
Z3,20,Sat,Clear,0,131
Z1,2,Fri,Clear,0,16
